"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta_raw[1]",-0.134589351516908,0.00817806677435223,0.104125722191546,-0.35103796802764,-0.202585316589115,-0.133514341678949,-0.065246150446466,0.0625074168797561,162.111845039579,1.02808807831222
"theta_raw[2]",0.51678394592711,0.00933365378298121,0.722981713215042,-0.937197071868133,0.0349385139398558,0.513742152016673,1.00680825447432,1.90634537869816,6000,1.00070456927666
"theta_raw[3]",0.500151425855391,0.00936391707911325,0.725325898053457,-0.926350867183109,0.0172055533593464,0.504762041541795,0.987219036475561,1.94801089258796,6000,1.00124179287681
"theta_raw[4]",-0.761401044412861,0.00372998297632806,0.205361226402225,-1.18357147570608,-0.89148080025351,-0.749477117260964,-0.617410985625483,-0.389941166034853,3031.26007289984,1.00271189976121
"theta_raw[5]",-0.840128619279032,0.00422164612733454,0.213735324240393,-1.28536853353361,-0.9778085594708,-0.827775628164197,-0.688010234760947,-0.462756302386838,2563.23813528311,1.00335408524897
"theta_raw[6]",-0.408029776319956,0.00993130394928989,0.710351901462488,-1.80884649483133,-0.88082007677976,-0.41555975682687,0.0696380564901603,0.950429468842321,5116.0472536176,0.999629152600246
"theta_raw[7]",-0.39776546184066,0.0100417437159552,0.711084007517217,-1.75179536886672,-0.883835695453574,-0.399197302676354,0.0779531071894421,0.979840347825882,5014.45289922995,0.999783355216252
"theta_raw[8]",0.37445225952632,0.00359226693546288,0.278255800323586,-0.152316277762481,0.182596571690074,0.369722184635943,0.560197230252186,0.930963815373966,6000,1.00096125574688
"theta_raw[9]",0.64848644797819,0.00384203140253397,0.230708221336437,0.225180209588468,0.490758235046335,0.640686496154256,0.795188681789303,1.13501704979023,3605.82231040633,1.00004631243505
"theta_raw[10]",0.711820091039963,0.00356314748381637,0.179739970710307,0.391655421795107,0.585432327090441,0.699415524644344,0.826684193390627,1.09181654937836,2544.6129647525,1.00361019753525
"theta_raw[11]",0.227624842704063,0.00254492817938182,0.197129289120795,-0.14845531231258,0.0929154703358376,0.221728583359801,0.356426672047402,0.624510276922146,6000,0.999853189706133
"theta_raw[12]",0.0934859839682674,0.00947091840543682,0.733614185150923,-1.33193372051244,-0.399699141703586,0.0735767373851187,0.58686962754313,1.53389622288399,6000,1.00024258709315
"theta_raw[13]",0.0893262475979746,0.00942721571300491,0.730228989151458,-1.32415025111789,-0.399779705676136,0.0989840678154134,0.576157039619473,1.51292990316515,6000,0.999931085877253
"theta_raw[14]",0.622163029798311,0.0084604973847429,0.428420210299696,-0.173606816610908,0.331247559018259,0.605837571369186,0.899346853526977,1.50086484965326,2564.17764142871,1.00096261331701
