survey,item,variable,value,reverse,to_na
bsa2007,marry5_5,GMLMarry,1,FALSE,"c(-2, -1, 8, 9)"
bsa2010,approve5_1r,HomoSex,1,TRUE,"c(-2, 6, 8, 9)"
bsa2010,approve5_5,HomoSex,5,FALSE,"c(-2, 6, 8, 9)"
bsa2012,approve5_1r,HomoSex,1,TRUE,"c(-2, 6, 8, 9)"
bsa2012,approve5_5,HomoSex,5,FALSE,"c(-2, 6, 8, 9)"
bsa2012,adopt2,GayAdopt,1,FALSE,"c(-2, 6, 7, 8, 9)"
bsa2012,marry5_1r,gmlmarry,5,TRUE,"c(-2,-1, 8, 9)"
bsa2012,marry5_5,gmlmarry,1,FALSE,"c(-2,-1, 8, 9)"
bsa2013,approve5_1r,HomoSex,1,TRUE,"c(-2, 6, 8, 9)"
bsa2013,approve5_5,HomoSex,5,FALSE,"c(-2, 6, 8, 9)"
bges1997,approve5_1r,GAYSEX,1,TRUE,"c(-1, 8, 9)"
bges1997,approve5_5,GAYSEX,5,FALSE,"c(-1, 8, 9)"
uspew1997.govtrust,accept2,q14d,1,FALSE,"c(3, 4, 5)"
uspew1999.typo,accept2,Q38U,"c(1, 2)",FALSE,"c(5, 9)"
uspew2000.typo,accept2,Q42U,"c(1, 2)",FALSE,"c(5, 9)"
uspew2003.06nii,accept2,Q6H,"c(1, 2)",FALSE,"c(5, 9)"
uspew2004.typo,accept2,Q20U,"c(1, 2)",FALSE,"c(5, 9)"
uspew2006.next,accept2,Q59D,1,FALSE,"c(3, 9)"
uspew2011.typo,accept2,q37u,"c(1, 2)",FALSE,"c(5, 9)"
uspew2012.comm,accept2,q17b,1,FALSE,"c(3, 9)"
uspew2013.pol,accept2,q15c,1,FALSE,"c(3, 9)"
uspew2014.typo,accept2,q50u,1,FALSE,"c(5, 9)"
cdcee,accept4_1r,v233,4,TRUE,
cdcee,accept4_4,v233,1,FALSE,
